Date,Open,High,Low,Close,Volume
2-Mar-18,172.80,176.30,172.45,176.21,38453950
1-Mar-18,178.54,179.78,172.66,175.00,48801970
28-Feb-18,179.26,180.62,178.05,178.12,37782138
27-Feb-18,179.10,180.48,178.16,178.39,38928125
26-Feb-18,176.35,179.39,176.21,178.97,38162174
23-Feb-18,173.67,175.65,173.54,175.50,33812360
22-Feb-18,171.80,173.95,171.71,172.50,30991940
21-Feb-18,172.83,174.12,171.01,171.07,37471623
20-Feb-18,172.05,174.26,171.42,171.85,33930540
16-Feb-18,172.36,174.82,171.77,172.43,40176091
15-Feb-18,169.79,173.09,169.00,172.99,51147171
14-Feb-18,163.04,167.54,162.88,167.37,40644933
13-Feb-18,161.95,164.75,161.65,164.34,32549163
12-Feb-18,158.50,163.89,157.51,162.71,60819539
9-Feb-18,157.07,157.89,150.24,156.41,70672608
8-Feb-18,160.29,161.00,155.03,155.15,54390516
7-Feb-18,163.08,163.40,159.07,159.54,51608580
6-Feb-18,154.83,163.72,154.00,163.03,68243838
5-Feb-18,159.10,163.88,156.00,156.49,72738522
2-Feb-18,166.00,166.80,160.10,160.50,86593825
1-Feb-18,167.16,168.62,166.76,167.78,47230787
31-Jan-18,166.87,168.44,166.50,167.43,32478930
30-Jan-18,165.52,167.37,164.70,166.97,46048185
29-Jan-18,170.16,170.16,167.07,167.96,50640406
26-Jan-18,172.00,172.00,170.06,171.51,39143011
25-Jan-18,174.50,174.95,170.53,171.11,41529004
24-Jan-18,177.25,177.30,173.20,174.22,51105090
23-Jan-18,177.30,179.44,176.82,177.04,32689146
22-Jan-18,177.30,177.78,176.60,177.00,27108551
19-Jan-18,178.61,179.58,177.41,178.46,32425067
18-Jan-18,179.37,180.10,178.25,179.26,31193352
17-Jan-18,176.15,179.25,175.07,179.10,34386836
16-Jan-18,177.90,179.39,176.14,176.19,29565947
12-Jan-18,176.18,177.36,175.65,177.09,25418080
11-Jan-18,174.59,175.49,174.49,175.28,18667729
10-Jan-18,173.16,174.30,173.00,174.29,23959895
9-Jan-18,174.55,175.06,173.41,174.33,21583997
8-Jan-18,174.35,175.61,173.93,174.35,20567766
5-Jan-18,173.44,175.37,173.05,175.00,23660018
4-Jan-18,172.54,173.47,172.08,173.03,22434597
3-Jan-18,172.53,174.55,171.96,172.23,29517899
2-Jan-18,170.16,172.30,169.26,172.26,25555934
29-Dec-17,170.52,170.59,169.22,169.23,25999922
28-Dec-17,171.00,171.85,170.48,171.08,16480187
27-Dec-17,170.10,170.78,169.71,170.60,21498213
26-Dec-17,170.80,171.47,169.68,170.57,33185536
22-Dec-17,174.68,175.42,174.50,175.01,16349444
21-Dec-17,174.17,176.02,174.10,175.01,20949896
20-Dec-17,174.87,175.42,173.25,174.35,23475649
19-Dec-17,174.99,175.39,174.09,174.54,27436447
18-Dec-17,174.88,177.20,174.86,176.42,29421114
